files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20,solar_21,solar_22,solar_23,solar_24
D:\Dropbox\matlab_works\00_A\label_wide\w234.png,94,148,194,142,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w235.png,109,296,164,346,159,121,101,71,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w236.png,114,257,1,120,336,335,141,78,24,199,81,82,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w237.png,251,239,564,550,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w238.png,127,183,365,173,316,1,154,234,52,120,101,131,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w239.png,135,166,117,113,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w240.png,203,522,184,745,653,152,560,195,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w241.png,163,152,162,124,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w242.png,115,142,156,156,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w243.png,150,151,113,106,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w244.png,120,154,181,109,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w245.png,127,338,152,263,146,79,157,150,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w246.png,231,357,494,520,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w247.png,165,167,79,107,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w248.png,165,263,1,73,1,845,692,300,203,852,91,176,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w249.png,283,294,516,508,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w250.png,240,834,353,424,479,112,326,177,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w251.png,357,398,150,316,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w252.png,298,616,1,322,455,327,473,357,130,301,312,289,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w253.png,314,373,315,261,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w254.png,192,171,730,854,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w255.png,272,213,569,660,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w256.png,215,330,606,389,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w257.png,287,178,148,313,188,360,133,612,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w258.png,452,274,240,445,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w259.png,451,280,272,516,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w260.png,369,334,405,369,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w261.png,301,329,406,394,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w262.png,286,313,317,382,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w263.png,264,779,320,314,470,246,372,196,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w264.png,332,392,272,155,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w265.png,268,422,459,197,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w266.png,204,304,459,336,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w267.png,256,1,431,613,343,218,190,412,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w268.png,170,330,931,159,375,367,269,381,94,259,316,142,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w269.png,277,740,407,863,370,281,236,162,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w270.png,215,151,599,715,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w271.png,296,632,1,293,840,837,311,193,58,466,185,188,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w272.png,325,466,896,448,773,1,336,559,129,227,252,333,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w273.png,6,922,142,1,1,339,377,103,699,218,296,399,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w274.png,370,288,347,653,290,184,261,126,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w275.png,314,309,477,455,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w276.png,522,314,258,86,481,588,231,314,284,459,263,270,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w277.png,155,314,637,317,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w278.png,477,79,140,437,411,453,383,273,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w279.png,265,194,492,599,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w280.png,431,575,699,1,1,40,594,168,203,872,104,218,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w281.png,478,433,209,173,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w282.png,170,231,553,558,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w283.png,311,191,320,680,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w284.png,315,267,522,474,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w285.png,264,232,527,472,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w286.png,261,119,458,795,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w287.png,165,757,147,554,528,160,773,336,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w288.png,221,235,509,517,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w289.png,239,248,531,440,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w290.png,239,306,467,411,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w291.png,331,197,1,74,447,912,440,710,135,533,488,113,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w292.png,224,128,445,744,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w293.png,213,328,662,397,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w294.png,237,456,482,301,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w295.png,115,303,488,632,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w296.png,314,522,107,1,104,181,851,621,747,1,291,113,240,198,170,630,159,192,180,117,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w297.png,263,290,292,483,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w298.png,331,314,492,448,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w299.png,199,539,291,917,585,304,500,108,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w300.png,163,299,648,325,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w301.png,269,290,466,461,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w302.png,194,432,501,333,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w303.png,301,229,653,621,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w304.png,245,367,422,273,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w305.png,306,535,295,843,296,280,451,182,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w306.png,501,547,407,661,146,272,225,306,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w307.png,391,443,901,253,234,99,370,571,659,965,158,274,124,371,155,221,288,266,308,60,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w308.png,283,719,282,930,370,477,1,10,405,92,469,95,419,179,361,189,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w309.png,224,607,256,1,424,418,544,447,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w310.png,74,794,208,704,928,141,728,321,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w311.png,323,379,247,450,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w312.png,371,1,1,381,1,714,452,242,182,344,306,136,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w313.png,412,601,382,561,203,690,193,592,805,698,463,934,156,69,258,67,223,76,478,125,220,118,219,65
D:\Dropbox\matlab_works\00_A\label_wide\w314.png,154,384,672,383,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w315.png,277,374,494,405,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w316.png,243,218,519,677,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w317.png,215,256,510,498,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w318.png,29,336,773,408,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w319.png,219,202,506,662,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w320.png,85,196,690,615,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w321.png,259,232,594,551,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w322.png,279,178,393,672,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w323.png,325,99,248,595,485,372,367,245,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w324.png,322,282,264,395,227,109,336,422,210,474,327,144,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w325.png,339,144,391,677,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w326.png,387,248,251,639,306,183,452,240,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w327.png,271,135,484,700,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w328.png,368,354,443,339,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w329.png,287,1,286,800,508,90,529,225,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w330.png,226,421,362,877,625,604,462,148,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w331.png,360,226,266,370,571,150,469,373,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w332.png,378,347,427,319,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w333.png,291,314,328,280,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w334.png,295,48,144,56,409,122,728,146,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w335.png,301,343,422,329,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w336.png,403,231,220,564,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w337.png,387,1,7,101,638,282,852,362,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w338.png,354,96,304,131,472,304,459,376,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w339.png,379,627,407,1,303,398,257,390,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w340.png,504,424,200,466,323,139,247,129,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w341.png,355,159,431,676,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w342.png,288,184,363,642,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w343.png,440,1,1,315,649,871,248,164,119,456,216,148,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w344.png,319,85,382,918,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w345.png,185,194,106,103,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w346.png,22,81,370,236,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w347.png,151,42,133,283,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w348.png,52,55,324,266,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w349.png,88,53,285,286,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w350.png,77,48,311,297,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w351.png,1,67,409,281,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w352.png,49,196,343,124,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w353.png,131,8,164,353,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w354.png,80,29,245,351,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w355.png,98,46,222,318,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w356.png,77,44,248,340,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w357.png,83,81,310,280,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w358.png,99,76,263,273,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w359.png,64,56,297,333,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w360.png,90,114,258,192,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w361.png,12,246,127,73,261,146,215,181,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w362.png,94,14,253,351,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w363.png,20,50,371,315,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w364.png,18,85,379,280,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w365.png,57,98,308,178,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w366.png,79,66,303,299,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w367.png,88,14,249,344,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w368.png,77,13,248,372,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w369.png,146,139,123,137,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w370.png,135,116,154,141,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w371.png,335,371,327,364,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w372.png,116,185,258,146,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w373.png,65,401,201,1,279,382,687,289,100,247,300,53,125,265,185,137,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w374.png,194,139,212,136,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w375.png,92,77,140,143,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w376.png,280,154,111,159,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w377.png,136,76,180,199,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w378.png,215,230,188,103,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w379.png,248,68,97,154,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w380.png,270,152,126,76,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w381.png,1,1,194,389,483,203,839,915,391,1,228,178,94,232,542,612,186,110,305,559,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w382.png,164,102,95,135,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w383.png,209,213,79,103,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w384.png,84,116,228,88,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w385.png,37,210,194,157,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w386.png,233,54,114,187,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w387.png,55,290,177,114,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w388.png,53,116,99,147,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w389.png,253,209,95,96,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w390.png,290,153,98,148,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w391.png,35,186,80,153,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w392.png,44,37,147,170,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w393.png,159,198,117,106,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w394.png,49,248,130,143,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w395.png,168,177,173,131,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w396.png,16,54,197,157,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w397.png,252,196,162,113,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w398.png,243,103,255,190,112,131,73,72,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w399.png,68,151,113,92,,,,,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_wide\w400.png,149,98,298,209,129,21,112,1,126,82,119,151,103,112,221,59,,,,,,,,
