files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12,solar_13,solar_14,solar_15,solar_16,solar_17,solar_18,solar_19,solar_20
D:\Dropbox\matlab_works\00_A\label_zoom\z251.png,256,1,838,263,419,1,568,153,187,575,326,294,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z252.png,381,279,391,434,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z253.png,1,161,613,628,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z254.png,354,1,330,357,405,115,348,217,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z255.png,150,417,754,342,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z256.png,157,12,26,720,806,567,895,305,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z257.png,74,7,783,959,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z258.png,103,135,816,747,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z259.png,1,4,1024,1019,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z260.png,19,725,142,180,809,298,812,320,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z261.png,71,99,891,837,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z262.png,124,331,739,430,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z263.png,200,279,1,287,185,245,420,585,217,527,174,129,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z264.png,66,267,883,573,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z265.png,1,204,843,779,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z266.png,183,177,371,625,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z267.png,212,104,487,894,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z268.png,175,63,678,873,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z269.png,350,159,269,702,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z270.png,203,306,638,400,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z271.png,405,165,354,822,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z272.png,134,262,760,461,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z273.png,34,205,941,684,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z274.png,231,440,615,185,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z275.png,285,205,383,595,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z276.png,353,301,277,380,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z277.png,236,300,400,401,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z278.png,246,24,133,754,472,248,892,271,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z279.png,111,140,771,746,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z280.png,149,40,605,980,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z281.png,65,196,919,633,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z282.png,1,231,805,508,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z283.png,1,235,968,509,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z284.png,256,119,82,405,572,164,705,279,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z285.png,16,234,962,618,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z286.png,67,123,912,898,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z287.png,159,395,252,792,536,504,519,233,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z288.png,442,1,909,1,267,433,848,21,550,339,116,121,529,400,177,202,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z289.png,275,73,357,849,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z290.png,113,771,786,75,1,407,720,254,239,865,329,618,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z291.png,339,122,404,790,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z292.png,317,284,396,458,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z293.png,125,282,772,471,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z294.png,283,251,475,616,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z295.png,276,477,229,809,623,548,555,216,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z296.png,1,154,850,811,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z297.png,219,215,701,651,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z298.png,240,11,648,97,708,950,483,544,154,814,317,75,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z299.png,161,327,297,58,300,228,657,295,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z300.png,478,61,159,508,502,602,593,369,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z301.png,107,107,105,299,482,918,294,660,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z302.png,64,1,734,1015,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z303.png,410,50,507,903,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z304.png,1,266,1011,696,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z305.png,19,90,1006,930,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z306.png,157,90,615,824,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z307.png,76,266,880,688,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z308.png,142,235,593,575,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z309.png,289,210,447,681,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z310.png,783,1,277,571,640,288,242,465,508,368,359,575,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z311.png,171,388,634,270,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z312.png,50,32,930,57,37,1,889,418,95,907,353,163,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z313.png,239,1,399,867,506,267,453,158,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z314.png,187,362,661,332,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z315.png,184,395,503,286,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z316.png,85,71,871,893,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z317.png,262,247,426,546,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z318.png,88,495,844,1,1,12,205,474,52,608,671,305,181,106,72,939,657,185,245,243
D:\Dropbox\matlab_works\00_A\label_zoom\z319.png,162,87,588,891,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z320.png,1,254,966,502,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z321.png,1,103,983,786,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z322.png,153,456,1,224,572,153,714,315,86,442,270,131,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z323.png,250,226,467,498,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z324.png,211,1,1,131,774,288,951,371,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z325.png,115,243,1,699,348,797,1,1,732,369,457,326,501,104,332,262,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z326.png,30,127,807,827,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z327.png,51,99,112,304,220,203,177,113,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z328.png,207,261,592,454,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z329.png,7,66,410,343,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z330.png,81,31,322,367,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z331.png,42,40,304,318,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z332.png,77,99,265,201,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z333.png,26,120,344,164,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z334.png,78,112,276,200,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z335.png,28,54,349,287,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z336.png,56,60,360,314,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z337.png,26,241,51,181,343,170,341,134,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z338.png,84,17,236,379,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z339.png,83,92,240,220,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z340.png,19,89,382,234,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z341.png,37,69,357,218,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z342.png,132,23,107,47,278,159,291,124,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z343.png,42,45,303,301,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z344.png,1,87,404,265,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z345.png,85,64,212,247,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z346.png,288,255,452,593,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z347.png,29,132,352,137,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z348.png,114,54,270,264,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z349.png,45,1,39,186,326,69,345,204,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z350.png,27,39,359,356,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z351.png,1,71,393,253,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z352.png,113,60,233,357,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z353.png,11,100,395,257,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z354.png,100,81,225,278,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z355.png,141,47,139,304,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z356.png,135,114,171,214,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z357.png,91,46,210,298,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z358.png,47,102,335,268,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z359.png,37,62,314,285,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z360.png,45,69,316,287,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z361.png,31,68,318,263,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z362.png,46,23,300,356,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z363.png,82,68,273,271,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z364.png,47,106,328,197,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z365.png,44,57,336,292,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z366.png,89,63,242,312,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z367.png,70,81,292,253,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z368.png,34,32,364,353,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z369.png,25,131,350,155,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z370.png,60,49,309,313,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z371.png,29,57,346,276,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z372.png,87,47,232,299,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z373.png,60,107,305,198,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z374.png,8,133,406,158,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z375.png,146,36,168,332,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z376.png,44,37,305,379,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z377.png,54,52,336,299,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z378.png,92,109,257,224,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z379.png,49,292,66,111,266,118,232,83,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z380.png,237,48,62,90,139,136,252,289,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z381.png,77,40,223,340,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z382.png,358,228,325,581,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z383.png,63,72,292,273,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z384.png,99,21,261,361,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z385.png,113,106,238,188,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z386.png,92,80,259,281,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z387.png,13,37,203,363,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z388.png,48,71,918,908,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z389.png,1,151,395,145,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z390.png,36,64,332,241,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z391.png,1,54,411,277,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z392.png,95,49,193,308,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z393.png,98,121,289,185,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z394.png,95,43,249,331,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z395.png,28,26,381,352,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z396.png,19,97,348,232,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z397.png,60,39,316,330,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z398.png,142,135,861,831,,,,,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z399.png,77,138,53,20,293,107,329,67,,,,,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z400.png,42,42,349,300,,,,,,,,,,,,,,,,
